weapon,category,fire_mode,rate_rpm,cyclic_rpm,bolt_cycle_s,profile,profile_from_override,projectile,asset,envelope_m,power_1m,power_2m,power_3m,power_4m,ceiling,sway_add,rounds_to_cap_1m,per_second_1m,muzzle_ms,moa,mag,pen_mm,variants,icon_asset
FN FAL,Battle rifle,auto,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_FNFAL,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,800,1.5,20,7,4,fnfal
G3A3,Battle rifle,auto,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_G3A3,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,800,1.5,20,7,2,g3a3
G3A3 + Foregrip,Battle rifle,auto,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_G3A3_Foregrip,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,800,1.5,20,7,1,g3a3_foregrip
G3A3 + Z-Point,Battle rifle,auto,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_G3A3_ZPoint,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,800,1.5,20,7,1,g3a3_zpoint
G3A3 + Z-Point + Foregrip,Battle rifle,auto,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_G3A3_ZPoint_Foregrip,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,800,1.5,20,7,1,g3a3_foregrip_zpoint
G3A3 + ZF1,Battle rifle,auto,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_G3A3_Optic,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,800,1.5,20,7,2,g3a3_zf1
G3A3 HK79,Battle rifle,auto,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_G3A3HK79_Rifle,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,800,1.5,20,7,1,g3a3hk79
G3A3 HK79 + ZF1,Battle rifle,auto,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_G3A3HK79_Optic_Rifle,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,800,1.5,20,7,1,g3a3hk79_zf1
G3A4,Battle rifle,auto,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_G3A4,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,800,1.5,20,7,1,g3a4
G3A4 + Drum Mag,Battle rifle,auto,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,MachineGuns/BP_G3A3_Drum,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,800,1.5,50,7,1,g3a3_drum
G3A4 + Foregrip,Battle rifle,auto,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_G3A4_Foregrip,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,800,1.5,20,7,1,g3a4_foregrip
G3A4 + Irons + Foregrip + Tracer,Battle rifle,auto,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_G3A4_Foregrip_Tracer,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,800,1.5,20,7,1,g3a4_foregrip
G3A4 + Tracer,Battle rifle,auto,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_G3A4_Tracer,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,800,1.5,20,7,1,g3a4
G3A4 + Z-Point,Battle rifle,auto,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_G3A4_ZPoint,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,800,1.5,20,7,1,g3a4_zpoint
G3A4 + Z-Point + Foregrip,Battle rifle,auto,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_G3A4_ZPoint_Foregrip,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,800,1.5,20,7,1,g3a4_foregrip_zpoint
G3A4 + Z-Point + Foregrip + Tracer,Battle rifle,auto,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_G3A4_ZPoint_Foregrip_Tracer,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,800,1.5,20,7,1,g3a4_foregrip_zpoint
G3A4 + Z-Point + Tracer,Battle rifle,auto,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_G3A4_ZPoint_Tracer,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,800,1.5,20,7,1,g3a4_zpoint
G3A4 + ZF1,Battle rifle,auto,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_G3A4_Optic,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,800,1.5,20,7,1,g3a4_zf1
G3A4 + ZF1 + Drum Mag,Battle rifle,auto,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,MachineGuns/BP_G3A3_Drum_Optic,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,800,1.5,50,7,1,g3a3_drum_zf1
G3A4 + ZF1 + Foregrip,Battle rifle,auto,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_G3A4_Optic_Foregrip,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,800,1.5,20,7,1,g3a4_foregrip_zf1
G3A4 + ZF1 + Foregrip + Tracer,Battle rifle,auto,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_G3A4_Optic_Foregrip_Tracer,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,800,1.5,20,7,1,g3a4_foregrip_zf1
G3A4 + ZF1 + Tracer,Battle rifle,auto,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_G3A4_Optic_Tracer,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,800,1.5,20,7,1,g3a4_zf1
G3A7 + Foregrip,Battle rifle,auto,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_G3A7_Foregrip,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,800,1.5,20,7,1,g3a4_foregrip
G3A7 + Z-Point + Foregrip,Battle rifle,auto,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_G3A7_ZPoint_Foregrip,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,800,1.5,20,7,1,g3a4_foregrip_zpoint
G3KA4,Battle rifle,auto,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_G3KA4,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,800,1.5,20,7,1,g3ka4
G3KA4 + Foregrip,Battle rifle,auto,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_G3KA4_Foregrip,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,800,1.5,20,7,1,g3ka4_foregrip
G3KA4 + Z-Point,Battle rifle,auto,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_G3KA4_ZPoint,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,800,1.5,20,7,1,g3ka4_zpoint
G3KA4 + Z-Point + Foregrip,Battle rifle,auto,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_G3KA4_ZPoint_Foregrip,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,800,1.5,20,7,1,g3ka4_foregrip_zpoint
G3KA4 + ZF1,Battle rifle,auto,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_G3KA4_Optic,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,800,1.5,20,7,1,g3ka4_zf1
G3KA4 + ZF1 + Foregrip,Battle rifle,auto,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_G3KA4_Optic_Foregrip,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,800,1.5,20,7,1,g3ka4_foregrip_zf1
G3KA4 + ZF1 + Foregrip + Tracer,Battle rifle,auto,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_G3KA4_Optic_Foregrip_Tracer,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,800,1.5,20,7,1,g3ka4_foregrip_zf1
Generic Rifle,Battle rifle,auto,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_G3,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,800,1.5,20,7,1,g3a3
HK 51,Battle rifle,auto,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_HK51,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,800,1.5,20,7,2,hk51
HK 51 + Z-Point,Battle rifle,auto,600,600,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_HK51_ZPoint,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.0,800,1.5,20,7,1,hk51
M14,Battle rifle,auto,667,667,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_M14,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.335,715,1.5,20,7,1,T_m14
M14 + M68,Battle rifle,auto,667,667,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_M14_M68,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.335,715,1.5,20,7,1,T_m14_m68
M1A,Battle rifle,semi,667,667,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_M14_M1A,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.335,715,1.5,20,7,1,T_m14
M1A + M68,Battle rifle,semi,667,667,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_M14_M68_M1A,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.335,715,1.5,20,7,1,T_m14_m68
M21 + Meupold,Battle rifle,semi,667,667,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_M21_Meupold,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.335,715,1.5,20,7,1,T_m21_scope
MPT-76,Battle rifle,auto,706,706,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_MPT76,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.53,800,4.0,20,7,4,T_mpt76
MPT-76 +  Foregrip,Battle rifle,auto,706,706,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_MPT76_Foregrip,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.53,800,4.0,20,7,1,T_mpt76_foregrip
MPT-76 + A940,Battle rifle,auto,706,706,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_MPT76_A940,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.53,800,4.0,20,7,1,T_mpt76_a940
MPT-76 + A940 + Angled Foregrip + Tracer,Battle rifle,auto,706,706,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_MPT76_Foregrip_A940_Tracer,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.53,800,4.0,20,7,1,T_mpt76_foregrip_a940
MPT-76 + A940 + Foregrip,Battle rifle,auto,706,706,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_MPT76_Foregrip_A940,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.53,800,4.0,20,7,1,T_mpt76_foregrip_a940
MPT-76 + Angled Foregrip + Tracer,Battle rifle,auto,706,706,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_MPT76_Foregrip_Tracer,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.53,800,4.0,20,7,1,T_mpt76_foregrip
MPT-76 + HNA,Battle rifle,auto,706,706,,Projectile_Suppression_BattleRifle,yes,BP_Projectile_7_62mm,Rifles/BP_MPT76_HNA,5.0,0.3,0.095,0.0633,0.0317,1.15,3.5,4.0,3.53,800,4.0,20,7,2,T_mpt76_hna
