name,surface,ArmorThicknessMillimeters,DamageAbsorbed,bConsiderForPenetration,bAllowPenetration,bDamageParentActor,path
PhysMat_Asphalt,Asphalt,5000,,True,True,,Environments/PhysicalMaterials/PhysMat_Asphalt
PhysMat_AsphaltWet,Asphalt,5000,,True,True,,Environments/PhysicalMaterials/PhysMat_AsphaltWet
PhysMat_Dirt,Dirt,5000,,True,True,,Environments/PhysicalMaterials/PhysMat_Dirt
PhysMat_DirtGravel,DirtGravel,5000,,True,True,,Environments/PhysicalMaterials/PhysMat_DirtGravel
PhysMat_Grass,Grass,5000,,True,True,,Environments/PhysicalMaterials/PhysMat_Grass
PhysMat_GrassTall,Grass,5000,,True,True,,Environments/PhysicalMaterials/PhysMat_GrassTall
PhysMat_GrassTall_Rustle,Grass,5000,,True,True,,Environments/PhysicalMaterials/PhysMat_GrassTall_Rustle
PhysMat_Gravel,Gravel,5000,,True,True,,Environments/PhysicalMaterials/PhysMat_Gravel
PhysMat_LeafsNoRustle,Leaves,5000,,True,,,Environments/PhysicalMaterials/PhysMat_LeafsNoRustle
PhysMat_Mud_deep,Mud,5000,,True,True,,Environments/PhysicalMaterials/PhysMat_Mud_deep
PhysMat_Mud_light,Mud,5000,,True,True,,Environments/PhysicalMaterials/PhysMat_Mud_light
PhysMat_Sand,Sand,5000,,True,True,,Environments/PhysicalMaterials/PhysMat_Sand
PhysMat_Snow,Snow,5000,,True,True,,Environments/PhysicalMaterials/PhysMat_Snow
PhysMat_SnowWet,Snow,5000,,True,True,,Environments/PhysicalMaterials/PhysMat_SnowWet
PhysMat_T72B3_turret_front,Metal,700,600.0,True,True,,Environments/PhysicalMaterials/Vehicles/Armor_materials/T72B3/PhysMat_T72B3_turret_front
PhysMat_M1a2_turret_front,Metal,600,400.0,True,True,,Environments/PhysicalMaterials/Vehicles/Armor_materials/M1a2/PhysMat_M1a2_turret_front
PhysMat_M1a2_hull_front,Metal,500,300.0,True,True,,Environments/PhysicalMaterials/Vehicles/Armor_materials/M1a2/PhysMat_M1a2_hull_front
PhysMat_Armor_Hull_Front_400mm,Metal,400,300.0,True,True,,Environments/PhysicalMaterials/Vehicles/PhysMat_Armor_Hull_Front_400mm
PhysMat_M1a2_turret_breech,Metal,300,300.0,True,True,,Environments/PhysicalMaterials/Vehicles/Armor_materials/M1a2/PhysMat_M1a2_turret_breech
PhysMat_M1a2_turret_side,Metal,300,300.0,True,True,,Environments/PhysicalMaterials/Vehicles/Armor_materials/M1a2/PhysMat_M1a2_turret_side
PhysMat_T62_turret_front,Metal,250,600.0,True,True,,Environments/PhysicalMaterials/Vehicles/Armor_materials/T62/PhysMat_T62_turret_front
PhysMat_T72B3_turret_side,Metal,250,400.0,True,True,,Environments/PhysicalMaterials/Vehicles/Armor_materials/T72B3/PhysMat_T72B3_turret_side
PhysMat_T62_turret_cheek,Metal,240,600.0,True,True,,Environments/PhysicalMaterials/Vehicles/Armor_materials/T62/PhysMat_T62_turret_cheek
PhysMat_T62_turret_GunBreach,Metal,200,600.0,True,True,,Environments/PhysicalMaterials/Vehicles/Armor_materials/T62/PhysMat_T62_turret_GunBreach
PhysMat_T72B3_hull_front_lower,Metal,200,400.0,True,True,,Environments/PhysicalMaterials/Vehicles/Armor_materials/T72B3/PhysMat_T72B3_hull_front_lower
PhysMat_T72B3_hull_front_upper,Metal,200,400.0,True,True,,Environments/PhysicalMaterials/Vehicles/Armor_materials/T72B3/PhysMat_T72B3_hull_front_upper
PhysMat_T72B3_turret_roof_front,Metal,200,400.0,True,True,,Environments/PhysicalMaterials/Vehicles/Armor_materials/T72B3/PhysMat_T72B3_turret_roof_front
PhysMat_T62_turret_side,Metal,160,400.0,True,True,,Environments/PhysicalMaterials/Vehicles/Armor_materials/T62/PhysMat_T62_turret_side
PhysMat_Concrete_Deployable,Concrete,100,75.0,True,True,,Environments/PhysicalMaterials/PhysMat_Concrete_Deployable
PhysMat_M1a2_hull_side,Metal,100,200.0,True,True,,Environments/PhysicalMaterials/Vehicles/Armor_materials/M1a2/PhysMat_M1a2_hull_side
PhysMat_M1a2_sideskirt_front,Metal,100,300.0,True,True,False,Environments/PhysicalMaterials/Vehicles/Armor_materials/M1a2/PhysMat_M1a2_sideskirt_front
PhysMat_M1a2_turret_ammocompartment,Metal,100,200.0,True,True,,Environments/PhysicalMaterials/Vehicles/Armor_materials/M1a2/PhysMat_M1a2_turret_ammocompartment
PhysMat_Rock,Rock,100,,True,,,Environments/PhysicalMaterials/Rock/PhysMat_Rock
PhysMat_Rock_Deployable,Rock,100,,True,True,,Environments/PhysicalMaterials/Rock/PhysMat_Rock_Deployable
