vehicle,vehicleType,weapon,role,class,asset,projectile,profile,override,rpm,rpmPractical,mv,dmgMax,penMM,mag,mags,reload,moa,power,ceiling,sway,curve,impactPower,innerR,outerR,radialCeiling,expBase,expInner,expOuter,expKill,impactDmg,variants
9M133 Kornet High Explosive Anti-Tank,Emplacement,9M133 Kornet High Explosive Anti-Tank,ATGM,atgm,Emplaced_Kornet/BP_EmplacedKornet,BP_Kornet_Proj2,Explosion_Suppression_90mm_Frag_NoPassby,False,706,7,,1800.0,900,1,1,8.666999816894531,1.0,0.0,2.0,,,4.25,1500.0,3000.0,5.0,153.0,200.0,800.0,,1800.0,1
BGM-71 TOW High Explosive Anti-Tank,Emplacement,BGM-71 TOW High Explosive Anti-Tank,ATGM,atgm,Emplaced_BGM71TOW/BP_EmplacedBGM71TOW,BP_TOW_Proj,Explosion_Suppression_90mm_Frag_NoPassby,False,706,5,,1800.0,900,1,1,12.5,1.0,0.0,2.0,,,4.25,1500.0,3000.0,5.0,153.0,200.0,800.0,,1800.0,3
F2 MILAN High Explosive Anti-Tank,Emplacement,F2 MILAN High Explosive Anti-Tank,ATGM,atgm,Emplaced_F2_MILAN/BP_Emplaced_F2_Milan,BP_MILAN_Proj,Explosion_Suppression_90mm_Frag_NoPassby,False,706,9,,1800.0,900,1,1,6.829999923706055,1.0,0.0,2.0,,,4.25,1500.0,3000.0,5.0,153.0,200.0,800.0,,1800.0,1
HJ-8L High Explosive Anti-Tank,Emplacement,HJ-8L High Explosive Anti-Tank,ATGM,atgm,Emplaced_HJ-8ATGM/BP_Emplaced_HJ-8ATGM,BP_HJ-8ATGM_Proj,Explosion_Suppression_90mm_Frag_NoPassby,False,706,14,,1800.0,900,1,1,4.166999816894531,1.0,0.0,2.0,,,4.25,1500.0,3000.0,5.0,153.0,200.0,800.0,,1800.0,1
RK-2M-K Tandem High Explosive Anti Tank,Emplacement,RK-2M-K Tandem High Explosive Anti Tank,ATGM,atgm,Emplaced_Stugna-P/BP_EmplacedStugna,BP_StugnaP_Proj,Explosion_Suppression_90mm_Frag_NoPassby,False,706,7,,1800.0,1200,1,1,8.666999816894531,1.0,0.0,2.0,,,4.25,1500.0,3000.0,5.0,153.0,200.0,800.0,,1800.0,1
ZBL08,IFV,HJ-73C Red Arrow Guided Missile,ATGM,atgm,ZBL08/Weapons/BP_ZBL08_HJ73C_ATGM,BP_HJ73_Proj2,Explosion_Suppression_90mm_Frag_NoPassby,False,,,,1800.0,500,2,1,12.0,1.0,0.0,2.0,,,4.25,1500.0,3000.0,5.0,153.0,200.0,800.0,,1800.0,2
BTR4,IFV,RK-2M-K Skif High Explosive Anti-Tank,ATGM,atgm,BTR4/Weapons/BP_BTR4_StugnaP,BP_Kornet_Proj2,Explosion_Suppression_90mm_Frag_NoPassby,False,30,30,,1200.0,500,2,2,12.0,1.0,0.0,2.0,,,4.25,1500.0,3000.0,5.0,153.0,200.0,800.0,,1800.0,1
BMP-2,IFVTracked,9M113 Konkurs Guided Missile,ATGM,atgm,BMP-2/Weapons/BP_BMP2_GFI_Konkurs,BP_Konkurs_Proj2,Explosion_Suppression_90mm_Frag_NoPassby,False,,5,,1200.0,500,1,4,12.0,1.0,0.0,2.0,,,4.25,1500.0,3000.0,5.0,153.0,200.0,800.0,,1800.0,4
BMD-4M,IFVTracked,9M117M1 Bastion Guided Missile,ATGM,atgm,BMD-4M/Weapons/BP_BMD4M_APS03-100ATGM,BP_Refleks_Proj2,Explosion_Suppression_90mm_Frag_NoPassby,False,706,12,300,3000.0,500,1,3,5.0,1.600000023841858,0.0,2.0,,,4.25,1500.0,3000.0,5.0,153.0,200.0,800.0,,3000.0,2
BMP-2M,IFVTracked,9M133 Kornet High Explosive Anti-Tank,ATGM,atgm,BMP-2M/Weapons/Desert/BP_BMP2M_Kornet_Desert,BP_Kornet_Proj2,Explosion_Suppression_90mm_Frag_NoPassby,False,30,30,,1200.0,500,4,1,12.0,1.0,0.0,2.0,,,4.25,1500.0,3000.0,5.0,153.0,200.0,800.0,,1800.0,2
BMP-1,IFVTracked,9M14P Malyutka-P High Explosive Anti-Tank,ATGM,atgm,BMP-1/Weapons/BP_BMP1_AT3,BP_AT3_Proj2,Explosion_Suppression_90mm_Frag_NoPassby,False,,5,,1800.0,500,1,4,12.0,1.0,0.0,2.0,,,4.25,1500.0,3000.0,5.0,153.0,200.0,800.0,,1800.0,1
ZBD04A,IFVTracked,APS03-100 Anti-Tank Guided Missile,ATGM,atgm,ZBD04A/Weapons/BP_ZBD04A_APS03-100ATGM,BP_Refleks_Proj2,Explosion_Suppression_90mm_Frag_NoPassby,False,706,12,300,3000.0,500,1,3,5.0,1.600000023841858,0.0,2.0,,,4.25,1500.0,3000.0,5.0,153.0,200.0,800.0,,3000.0,1
BFV,IFVTracked,BGM-71 TOW High Explosive Anti-Tank,ATGM,atgm,BFV/Weapons/BP_BFV_vehicleTOW,BP_TOW_Proj,Explosion_Suppression_90mm_Frag_NoPassby,False,13,13,,1800.0,900,2,1,5.0,1.0,0.0,2.0,,,4.25,1500.0,3000.0,5.0,153.0,200.0,800.0,,1800.0,2
ZBD05,IFVTracked,HJ-73C Red Arrow Guided Missile,ATGM,atgm,ZBD05/Weapons/BP_ZBD05_HJ73C_ATGM,BP_HJ73_Proj2,Explosion_Suppression_90mm_Frag_NoPassby,False,,,,1800.0,500,2,1,12.0,1.0,0.0,2.0,,,4.25,1500.0,3000.0,5.0,153.0,200.0,800.0,,1800.0,2
BMP1TS_AFU,IFVTracked,RK-2M-K Skif High Explosive Anti-Tank,ATGM,atgm,BMP1TS_AFU/Weapons/BP_BMP1TS_StugnaP,BP_Kornet_Proj2,Explosion_Suppression_90mm_Frag_NoPassby,False,30,30,,1200.0,500,2,2,12.0,1.0,0.0,2.0,,,4.25,1500.0,3000.0,5.0,153.0,200.0,800.0,,1800.0,1
BRDM-2,Jeep,9M113 Konkurs Guided Missile,ATGM,atgm,BRDM-2/Attachments/BP_Spandrel_9M113_Konkurs,BP_Konkurs_Proj2,Explosion_Suppression_90mm_Frag_NoPassby,False,8,8,,1600.0,500,5,1,6.539999961853027,1.0,0.0,2.0,,,4.25,1500.0,3000.0,5.0,153.0,200.0,800.0,,1800.0,8
Safir,Jeep,9M133 Kornet High Explosive Anti-Tank,ATGM,atgm,Safir/Weapons/BP_Kornet_Safir_Weapon,BP_Kornet_Proj2,Explosion_Suppression_90mm_Frag_NoPassby,False,706,7,,1800.0,900,1,6,8.666999816894531,1.0,0.0,2.0,,,4.25,1500.0,3000.0,5.0,153.0,200.0,800.0,,1800.0,1
MATV,Jeep,BGM-71 TOW High Explosive Anti-Tank,ATGM,atgm,MATV/Turrets/BP_BGM71TOW_MATV,BP_TOW_Proj,Explosion_Suppression_90mm_Frag_NoPassby,False,706,5,,1800.0,900,1,6,12.5,1.0,0.0,2.0,,,4.25,1500.0,3000.0,5.0,153.0,200.0,800.0,,1800.0,1
CSK131,Jeep,HJ8L High Explosive Anti-Tank,ATGM,atgm,CSK131/Weapons/BP_HJ8ATGM_CSK131,BP_HJ-8ATGM_Proj,Explosion_Suppression_90mm_Frag_NoPassby,False,12,9,,1800.0,900,1,6,6.400000095367432,1.0,0.0,2.0,,,4.25,1500.0,3000.0,5.0,153.0,200.0,800.0,,1800.0,1
Sprut-SDM1,Tank,9M119M Refleks Guided Missile,ATGM,atgm,Sprut-SDM1/Weapons/BP_9M119MRefleks_ATGM_Sprut,BP_Refleks_Proj2,Explosion_Suppression_90mm_Frag_NoPassby,False,706,8,300,3000.0,500,1,2,8.0,1.0,0.0,2.0,,,4.25,1500.0,3000.0,5.0,153.0,200.0,800.0,,3000.0,4
ZTZ99,Tank,APS201-125 Anti Tank Guided Missile,ATGM,atgm,ZTZ99/Weapons/BP_APS201-125_ATGM,BP_Refleks_Proj2,Explosion_Suppression_90mm_Frag_NoPassby,False,706,8,300,3000.0,500,1,4,8.0,1.0,0.0,2.0,,,4.25,1500.0,3000.0,5.0,153.0,200.0,800.0,,3000.0,1
M60T,Tank,LAHAT Guided Missile,ATGM,atgm,M60T/Weapons/BP_MG253_LAHAT_ATGM,BP_Refleks_Proj2,Explosion_Suppression_90mm_Frag_NoPassby,False,706,8,300,3000.0,500,1,2,8.0,1.0,0.0,2.0,,,4.25,1500.0,3000.0,5.0,153.0,200.0,800.0,,3000.0,2
Emplaced_ZU23-2_Antiaircannon,Emplacement,ZU-23 OFZT Fragmentation Tracer,Autocannon,achE,Emplaced_ZU23-2_Antiaircannon/BP_Emplaced_ZU23-2_Antiaircannon_Weapon,BP_Projectile_23mm_HE,Explosion_Suppression_20mm_Frag,False,1000,1000,980,190.0,30,100,10,12.0,6.0,,2.0,,,1.5,350.0,,4.0,80.0,50.0,400.0,,190.0,6
Z8J,Helicopter,Type-23 Fragmentation Tracer,Autocannon,achE,Z8J/Weapons/BP_Type23_Z8J,BP_Projectile_23mm_HE,Explosion_Suppression_20mm_Frag,False,1000,1000,980,190.0,30,600,1,12.0,6.0,,2.0,,,1.5,350.0,,4.0,80.0,50.0,400.0,,190.0,1
BTR4,IFV,3UBR8 30mm Armor Piercing Discarding Sabot,Autocannon,acap,BTR4/Weapons/BP_BTR4_ZTM1_AP,BP_Projectile_30mm_AP,Projectile_Suppression_20mm_AP,False,333,333,1004,,62,150,1,10.5,6.0,0.699999988079071,2.0,5.0,,,,,,,,,,,1
BTR4,IFV,3UOR6 30mm Fragmentation Tracer,Autocannon,achE,BTR4/Weapons/BP_BTR4_ZTM1_HE,BP_Projectile_30mm_HE,Explosion_Suppression_20mm_Frag,False,333,333,,100.0,9,150,1,10.5,,,2.0,,,1.5,350.0,,4.0,125.0,100.0,750.0,,100.0,1
ZBL08,IFV,DTB02-30 30mm High Explosive Fragmentation,Autocannon,achE,ZBL08/Weapons/BP_ZBL08_ZPT-99_HEFrag,BP_Projectile_30mm_HE,Explosion_Suppression_20mm_Frag,False,333,333,950,100.0,9,300,1,10.5,,,2.0,,,1.5,350.0,,4.0,125.0,100.0,750.0,,100.0,2
ZBL08,IFV,DTC041A-30 30mm Armor-Piercing Sabot,Autocannon,acap,ZBL08/Weapons/BP_ZBL08_ZPT-99_APFSDS,BP_Projectile_30mm_AP,Projectile_Suppression_20mm_AP,False,333,333,1360,,105,160,1,10.5,2.5,0.699999988079071,2.0,5.0,,,,,,,,,,,2
